customer_id,title,givenname,surname,streetaddress,city,state,zipcode,country,emailaddress,telephonenumber,mothersmaiden,cctype,ccnumber,cvv2,ccexpires,nationalid,age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,emp_var_rate,cons_price_idx,cons_conf_idx
11,Mrs.,Mekirinzukushitafu,,Nurme 39,Viisukla,VD,69607,EE,Mekirinzukushitafu@cuvox.de,430 6958,Arichikumeikashichi,Visa,4.72E+15,804,3/1/2021,,44,Publicist,married,unknown,unknown,no,no,telephone,may,mon,55,1,999,0,nonexistent,1.1,93.994,-36.4
12,Mr.,Elias,Holtet,2382 Heuvel St,Excelsior,FS,9760,ZA,EliasHoltet@superrito.com,082 430 5432,Larsen,Visa,4.92E+15,648,12/1/2021,4.51E+12,70,University dean,single,high.school,no,yes,no,telephone,may,mon,222,1,999,0,nonexistent,1.1,93.994,-36.4
13,Mr.,Christian,Andersen,Alvaro Cunqueiro 56,El Real de la Jara,SE,41250,ES,ChristianJAndersen@rhyta.com,640446389,Bech,MasterCard,5.22E+15,838,2/1/2017,,44,Umpire,single,high.school,no,no,yes,telephone,may,mon,137,1,999,0,nonexistent,1.1,93.994,-36.4
14,Mr.,Georgius,Verkooijen,Reyes Catlicos 60,Briviesca,BU,9240,ES,GeorgiusVerkooijen@einrot.com,721432832,Mathijsen,Visa,4.92E+15,723,6/1/2019,,21,Plant manager,divorced,basic.4y,no,yes,no,telephone,may,mon,293,1,999,0,nonexistent,1.1,93.994,-36.4
15,Mr.,Lincoln,Farmer,Nnsi t 21.,Somogysmson,SO,8733,HU,LincolnFarmer@armyspy.com,(85) 286-085,Dalgarno,Visa,4.93E+15,753,7/1/2019,,56,Cutting,married,basic.6y,no,yes,no,telephone,may,mon,146,1,999,0,nonexistent,1.1,93.994,-36.4
16,Mr.,Cody,Bladin,48 rue Pierre Motte,SAINT-DI,LO,88100,FR,CodyBladin@teleworm.us,03.85.52.40.70,Hulme-Moir,MasterCard,5.32E+15,339,5/1/2018,1951286147289 09,20,Wait staff,married,basic.9y,unknown,yes,yes,telephone,may,mon,174,1,999,0,nonexistent,1.1,93.994,-36.4
17,Ms.,Baseema,Isa,Borgarbraut 31,Mjifjrur,,715,IS,BaseemaNailahIsa@cuvox.de,456 8594,Mustafa,Visa,4.54E+15,165,10/1/2017,,79,Sign language interpreter,married,basic.6y,no,yes,no,telephone,may,mon,312,1,999,0,nonexistent,1.1,93.994,-36.4
18,Ms.,Tuyt,Cao,41 quai Saint-Nicolas,TOURS,CE,37100,FR,CaoThiChiTuyet@armyspy.com,02.82.56.45.04,V,MasterCard,5.31E+15,455,9/1/2018,2850771583776 11,30,Registrar,married,basic.6y,unknown,yes,yes,telephone,may,mon,440,1,999,0,nonexistent,1.1,93.994,-36.4
19,Mr.,Czcibor,Ostrowski,88 rue Gustave Eiffel,ROANNE,RA,42300,FR,CzciborOstrowski@superrito.com,04.14.25.04.42,Czerwinska,MasterCard,5.21E+15,532,12/1/2017,1591104054466 85,56,Auditor,married,basic.9y,no,yes,yes,telephone,may,mon,353,1,999,0,nonexistent,1.1,93.994,-36.4
20,Mr.,Andr,Azevedo,Populierenstraat 304,Abolens,WLG,4280,BE,AndreCavalcantiAzevedo@superrito.com,0483 94 24 48,Rodrigues,Visa,4.72E+15,617,1/1/2020,,67,Brake repairer,single,basic.9y,unknown,no,no,telephone,may,mon,195,1,999,0,nonexistent,1.1,93.994,-36.4
21,Mr.,Michael,Belin,112 K. Giamboudaki Street,Askeia (Asseia),FA,5561,CY,MichaelCBelin@fleckens.hu,97 219400,Vanhoose,Visa,4.92E+15,143,2/1/2017,,52,Cooperative manager,married,high.school,no,no,no,telephone,may,mon,38,1,999,0,nonexistent,1.1,93.994,-36.4
22,Mr.,Gandolfo,Ricci,54, ,LI,4101,CY,GandolfoRicci@cuvox.de,25 778498,Monaldo,Visa,4.54E+15,912,5/1/2019,,33,Administrative assistant for human resource,married,basic.4y,unknown,yes,no,telephone,may,mon,262,1,999,0,nonexistent,1.1,93.994,-36.4
23,Mr.,Sng,Nguyn,47 Rue du Niger,Merkez Zouayed,61,3000,TN,NguyenKienSang@superrito.com,74392474,Trn,MasterCard,5.27E+15,540,4/1/2021,,70,Inhalation therapist,single,high.school,no,yes,no,telephone,may,mon,342,1,999,0,nonexistent,1.1,93.994,-36.4
24,Mr.,Tarcal,Pethe,Algade 2,Haderslev,SY,6100,DK,PetheTarcal@rhyta.com,71-21-70-70,Cak,Visa,4.54E+15,752,7/1/2021,081039-2223,76,General superintendent,single,high.school,no,yes,no,telephone,may,mon,181,1,999,0,nonexistent,1.1,93.994,-36.4
25,Mr.,Kagir,Shishani,ngsgatan 25,KGERD,,260 23,SE,KagirShishani@fleckens.hu,0418-4373969,Khadzhiev,MasterCard,5.44E+15,12,7/1/2019,670129-8579,49,Building construction estimator,married,high.school,no,yes,no,telephone,may,mon,172,1,999,0,nonexistent,1.1,93.994,-36.4
26,Mrs.,Chica ,Brandagamba,Ringvej 193,Qaqortoq,KU,3920,GL,ChicaBrandagamba@superrito.com,66 70 01,Took,Visa,4.72E+15,55,9/1/2021,,54,Loan counselor,married,university.degree,no,no,yes,telephone,may,mon,99,1,999,0,nonexistent,1.1,93.994,-36.4
27,Mrs.,Letcia,Dias,6 Faunce Crescent,NORTH YALGOGRIN,NSW,2671,AU,LeticiaAlmeidaDias@rhyta.com,(02) 6193 7505,Santos,Visa,4.56E+15,797,8/1/2018,,63,Natural sciences manager,married,unknown,no,yes,no,telephone,may,mon,93,1,999,0,nonexistent,1.1,93.994,-36.4
28,Ms.,Notburga,Fingut,Strandvej 9,Kbenhavn K,SJ,1291,DK,NotburgaFingust@teleworm.us,29-64-76-79,Ogulin,Visa,4.72E+15,378,7/1/2018,061195-4476,20,Heavy-duty truck mechanic,married,basic.9y,unknown,no,no,telephone,may,mon,233,1,999,0,nonexistent,1.1,93.994,-36.4
29,Ms.,Arikatefuku,,Via Paolo Gaidano 95,Forni Avoltri,UD,33020,IT,Arikatefuku@einrot.com,0346 1287471,Nodochitokarin,MasterCard,5.34E+15,851,10/1/2019,LM59090892,19,Forensic accountant,single,university.degree,unknown,no,no,telephone,may,mon,255,2,999,0,nonexistent,1.1,93.994,-36.4
30,Ms.,Zushikichikatofu,,ngsgatan 27,RAMNS,,730 60,SE,Zushikichikatofu@teleworm.us,0220-9143942,Meimomotekashite,Visa,4.49E+15,722,11/1/2020,860629-2327,29,Human resources supervisor,married,university.degree,unknown,unknown,unknown,telephone,may,mon,362,1,999,0,nonexistent,1.1,93.994,-36.4
31,Ms.,Nkechiyerem,Ogbonnaya,2208 Hoog St,Benoni,GA,1509,ZA,NkechiyeremOgbonnaya@superrito.com,084 930 9649,Onwuamaeze,MasterCard,5.49E+15,659,12/1/2020,7.00E+12,46,Ergonomist,married,unknown,no,no,no,telephone,may,mon,348,1,999,0,nonexistent,1.1,93.994,-36.4
32,Ms.,Nurset,Shishani,Metsanurga 30,Heeska,VR,66625,EE,NursetShishani@jourrapide.com,781 0091,Sheripov,Visa,4.54E+15,205,5/1/2018,,59,Insulation worker,married,unknown,no,yes,no,telephone,may,mon,386,1,999,0,nonexistent,1.1,93.994,-36.4
33,Dr.,Dositeo,Collazo,P.O. Box 223,Kangerlussuaq,QE,3910,GL,DositeoCollazoZapata@fleckens.hu,84 67 02,Zapata,Visa,4.72E+15,209,5/1/2017,,76,Financial consultant,married,unknown,no,no,no,telephone,may,mon,73,1,999,0,nonexistent,1.1,93.994,-36.4
34,Mrs.,Marija,Klari,Juncal 3923,Campo Militar,CA,90001,UY,MarijaKlaric@superrito.com,9163 0211,Mihaljevi,MasterCard,5.19E+15,669,10/1/2020,,20,Neuropsychologist,married,basic.4y,unknown,yes,no,telephone,may,mon,230,1,999,0,nonexistent,1.1,93.994,-36.4
35,Mr.,Sander,Olsen,Via Adua 20,Valenza,TR,5100,IT,SanderOlsen@cuvox.de,0322 3538056,Ibrahim,MasterCard,5.15E+15,89,5/1/2020,OY6653923,44,Prosthetist,divorced,basic.4y,no,no,no,telephone,may,mon,208,1,999,0,nonexistent,1.1,93.994,-36.4
36,Ms.,Irene,Tolonen,Austrttbanen 100,SANDNES,,4306,NO,IreneTolonen@fleckens.hu,963 76 723,Haanp,MasterCard,5.43E+15,895,5/1/2020,,84,Stock-control clerk,married,basic.4y,unknown,yes,no,telephone,may,mon,336,1,999,0,nonexistent,1.1,93.994,-36.4
37,Ms.,Dai,She,Stuejordet 105,SKIEN,,3721,NO,DaiShe@superrito.com,427 37 027,Tien,Visa,4.72E+15,511,7/1/2019,,45,Military officer,married,high.school,no,no,no,telephone,may,mon,365,1,999,0,nonexistent,1.1,93.994,-36.4
38,Mr.,Thiery,Vaillancour,Avenida Marqus Tomar 11,Lisboa,LI,1700-059,PT,ThieryVaillancour@dayrep.com,21 213 959 1379,Desforges,MasterCard,5.36E+15,515,9/1/2017,,50,Insurance adjuster,married,basic.9y,no,yes,no,telephone,may,mon,1666,1,999,0,nonexistent,1.1,93.994,-36.4
39,Mrs.,Julianna,Adamska,Pont du Chne 169,Blaregnies,WHT,7040,BE,JuliannaAdamska@einrot.com,0493 10 62 90,Majewska,MasterCard,5.59E+15,313,3/1/2019,,71,Sportscaster,married,university.degree,no,yes,no,telephone,may,mon,577,1,999,0,nonexistent,1.1,93.994,-36.4
40,Mr.,Tobias,Dresdner,Kossuth Lajos u. 8.,Lovszhetny,BA,7720,HU,TobiasDresdner@gustr.com,(72) 279-796,Scholz,MasterCard,5.27E+15,74,8/1/2017,,34,Drafter,married,basic.4y,no,yes,no,telephone,may,mon,137,1,999,0,nonexistent,1.1,93.994,-36.4
41,Mr.,Rafiq,Mansour,Pohjoisesplanadi 33,HELSINKI,UU,100,FI,RafiqHudhaifahMansour@einrot.com,044 707 3270,Shadid,MasterCard,5.14E+15,385,2/1/2019,270490-361H,26,Occupational health and safety technician,unknown,university.degree,no,yes,no,telephone,may,mon,366,1,999,0,nonexistent,1.1,93.994,-36.4
42,Mr.,Ben,McLarty,Gammel Byvej 17,Helsinge,SJ,3200,DK,BenMcLarty@fleckens.hu,24-49-85-05,Harry,Visa,4.54E+15,700,4/1/2019,200768-4617,47,Fire prevention specialist,married,high.school,no,yes,no,telephone,may,mon,314,1,999,0,nonexistent,1.1,93.994,-36.4
43,Ms.,Jana,Kratochvlov,R Palmeira 103,A dos Francos,LE,2500-018,PT,JanaKratochvilova@superrito.com,21 244 201 5035,Vlkov,Visa,4.54E+15,291,11/1/2019,,21,Customer service representative,single,professional.course,no,no,no,telephone,may,mon,160,1,999,0,nonexistent,1.1,93.994,-36.4
44,Mr.,Rodolfo,Sal,Via Acrone 122,Ricaldone,AL,15010,IT,RodolfoSal@jourrapide.com,0354 8647984,Trentino,Visa,4.53E+15,33,11/1/2018,RR76887781,79,Claims representative,married,university.degree,no,no,yes,telephone,may,mon,212,1,999,0,nonexistent,1.1,93.994,-36.4
45,Mrs.,Lavinia,Alves,Krre 99,Lau,RA,79008,EE,LaviniaLimaAlves@cuvox.de,480 6075,Azevedo,MasterCard,5.51E+15,314,4/1/2020,,27,Administrative technician,married,university.degree,unknown,yes,no,telephone,may,mon,188,1,999,0,nonexistent,1.1,93.994,-36.4
46,Ms.,Ernesta,Toscano,Rahu 82,Sindi,PR,86703,EE,ErnestaToscano@fleckens.hu,448 5742,Manna,MasterCard,5.23E+15,976,4/1/2018,,24,Banquet manager,single,professional.course,unknown,no,no,telephone,may,mon,22,1,999,0,nonexistent,1.1,93.994,-36.4
47,Ms.,Piia,Hyssl,ul. Panoramy 39,Warszawa,,04-793,PL,PiiaHyssala@armyspy.com,51 738 26 74,Kyhk,Visa,4.49E+15,219,8/1/2017,42091778907,73,Refrigeration mechanic,married,university.degree,no,yes,yes,telephone,may,mon,616,1,999,0,nonexistent,1.1,93.994,-36.4
48,Mr.,,,2908 Gateway Blvd,Edmonton,AB,T6H 1J5,CA,Glionou@einrot.com,780-436-8683,,Visa,4.92E+15,877,8/1/2017,307398180,31,Beautician,married,basic.9y,no,no,yes,telephone,may,mon,178,1,999,0,nonexistent,1.1,93.994,-36.4
49,Mrs.,Feaven,Kifle,Colonia Ofir 7040,San Luis,CA,16300,UY,FeavenKifle@einrot.com,9794 3986,Muhammed,MasterCard,5.33E+15,872,5/1/2020,,60,Statistical assistant,married,university.degree,no,yes,no,telephone,may,mon,355,1,999,0,nonexistent,1.1,93.994,-36.4
50,Ms.,,,Kvillevgen 54,URSHULT,,360 13,SE,,0477-5418456,,MasterCard,5.31E+15,146,3/1/2017,390923-3508,76,Disc jockey,married,basic.9y,no,yes,no,telephone,may,mon,225,2,999,0,nonexistent,1.1,93.994,-36.4
51,Mrs.,Amethyst,Underhill,R Gal 69,Arroteias,SE,2860-153,PT,AmethystUnderhill@fleckens.hu,21 265 123 1895,Chubb-Baggins,Visa,4.53E+15,931,12/1/2021,,33,Psychologist,married,high.school,no,no,no,telephone,may,mon,160,1,999,0,nonexistent,1.1,93.994,-36.4
52,Mrs.,,,62 Alfred Street,PINK LAKE,WA,6450,AU,Equabill59@armyspy.com,(08) 9097 7878,,MasterCard,5.42E+15,777,6/1/2021,,56,Safety specialist,married,basic.4y,no,no,yes,telephone,may,mon,266,1,999,0,nonexistent,1.1,93.994,-36.4
53,Ms.,Leila,Cunha,P.O. Box 41,Kulusuk,SM,3915,GL,LeilaCavalcantiCunha@armyspy.com,35 15 01,Cunha,Visa,4.93E+15,537,9/1/2019,,63,First responder,married,high.school,no,no,no,telephone,may,mon,253,1,999,0,nonexistent,1.1,93.994,-36.4
54,Mr.,Teemu,Tuimala,15 Venizelos Street,Dasaki Achnas,FA,5523,CY,TeemuTuimala@fleckens.hu,96 147763,Ahokas,Visa,4.54E+15,832,3/1/2019,,79,Corporate office services manager,single,professional.course,no,no,no,telephone,may,mon,179,1,999,0,nonexistent,1.1,93.994,-36.4
55,Mr.,Mateus,Gomes,Schoenebergerstrasse 25,Plauen,SN,8523,DE,MateusGoncalvesGomes@jourrapide.com,03741 91 34 01,Cardoso,MasterCard,5.33E+15,861,3/1/2021,,31,Animator,married,basic.4y,unknown,no,no,telephone,may,mon,269,2,999,0,nonexistent,1.1,93.994,-36.4
56,Ms.,Caroline,Schultz,4356 Twin House Lane,Springfield,MO,65806,US,CarolineMSchultz@einrot.com,417-425-7363,Jensen,MasterCard,5.45E+15,353,5/1/2021,489-17-6563,20,Talking-books clerk,married,professional.course,unknown,yes,no,telephone,may,mon,135,1,999,0,nonexistent,1.1,93.994,-36.4
57,Mrs.,Kelsey,Crawford,Jagerij 134,Meensel-Kiezegem,VBR,3391,BE,KelseyCrawford@superrito.com,0485 11 93 88,Kennedy,Visa,4.92E+15,766,10/1/2017,,25,Cutter,married,university.degree,unknown,no,yes,telephone,may,mon,161,1,999,0,nonexistent,1.1,93.994,-36.4
58,Mr.,Sigursteinn,Jasonarson,92 Lamphey Road,THORNAGE,,NR25 7EQ,GB,SigursteinnJasonarson@cuvox.de,070 8530 9069,,MasterCard,5.48E+15,365,2/1/2021,WS 08 80 52 C,76,Custodian,married,high.school,unknown,yes,no,telephone,may,mon,787,1,999,0,nonexistent,1.1,93.994,-36.4
59,Mr.,Karl,Lennert,Lundevnget 54,Kbenhavn K,SJ,1352,DK,KarlLennert@dayrep.com,28-70-27-67,Kleist,MasterCard,5.25E+15,355,4/1/2021,221296-0457,19,Web designer,married,professional.course,unknown,yes,yes,telephone,may,mon,145,1,999,0,nonexistent,1.1,93.994,-36.4
60,Mr.,Steffen,Bar,kerstigen 86,RJNG,,672 00,SE,SteffenBar@rhyta.com,0573-2881724,Bohm,MasterCard,5.44E+15,402,4/1/2020,681026-5519,47,Conference planner,single,university.degree,no,yes,no,telephone,may,mon,174,1,999,0,nonexistent,1.1,93.994,-36.4
61,Mr.,William,Christiansen,Via Santa Maria di Costantinopoli 3,Rivarolo Mantovano,MN,46017,IT,WilliamSChristiansen@cuvox.de,0322 7246563,Hansen,Visa,4.72E+15,417,9/1/2020,TP96605129,55,Real property appraiser,married,university.degree,unknown,no,no,telephone,may,mon,449,1,999,0,nonexistent,1.1,93.994,-36.4
62,Ms.,,,Avda. de la Estacin 20,San Martn de Valdeiglesias,M,28680,ES,Chapted@einrot.com,765719611,,MasterCard,5.56E+15,160,9/1/2018,,46,Community planner,married,basic.9y,no,yes,no,telephone,may,mon,812,1,999,0,nonexistent,1.1,93.994,-36.4
63,Mr.,Bilal,Fransson,893 Bo Meul St,Fish Hoek,WC,7978,ZA,BilalFransson@gustr.com,084 296 7250,berg,Visa,4.56E+15,571,7/1/2017,9.01E+12,26,Pipe organ repairer,married,basic.6y,unknown,yes,no,telephone,may,mon,164,1,999,0,nonexistent,1.1,93.994,-36.4
64,Mrs.,Emilly,Gomes,68 Rue Tawfik Al Hakim,Ouled Abdennebi,53,5130,TN,EmillyLimaGomes@einrot.com,73777368,Costa,Visa,4.53E+15,187,8/1/2021,,76,Rotary drill operator,married,basic.6y,unknown,no,no,telephone,may,mon,366,1,999,0,nonexistent,1.1,93.994,-36.4
65,Dr.,Ernst-Jan,van der Helm,Dieselstrasse 37,LEBERTSHAM,OO,4690,AT,Ernst-JanvanderHelm@superrito.com,0660 111 37 58,Zaat,MasterCard,5.15E+15,601,8/1/2019,,36,Technical writer,married,high.school,no,no,no,telephone,may,mon,357,1,999,0,nonexistent,1.1,93.994,-36.4
66,Ms.,Tnia,Lima,40 rue de la Mare aux Carats,MONTREUIL,IL,93100,FR,TaniaSantosLima@teleworm.us,01.93.16.34.43,Pereira,Visa,4.53E+15,736,12/1/2018,2680206637001 25,48,Gaming investigator,married,university.degree,no,no,no,telephone,may,mon,232,1,999,0,nonexistent,1.1,93.994,-36.4
67,Mrs.,Naina,Artamonova,Linthorst Homanstraat 120,Hoogeveen,DR,7902 NE,NL,NainaArtamonova@einrot.com,06-71692984,,Visa,4.49E+15,272,7/1/2021,,31,Anthropologist,single,basic.9y,no,yes,no,telephone,may,mon,91,1,999,0,nonexistent,1.1,93.994,-36.4
68,Mr.,Damian,Repin,54 City Walls Rd,CLOVELLY CROSS,,EX39 8YR,GB,DamianRepin@armyspy.com,070 3895 1833,,MasterCard,5.27E+15,755,4/1/2018,BW 19 15 32 A,77,Self enrichment teacher,married,unknown,no,yes,no,telephone,may,mon,273,1,999,0,nonexistent,1.1,93.994,-36.4
69,Ms.,Libera Maria,Trentino,Kaupangsstrti 5,orlkshfn,,815,IS,LiberaMariaTrentino@cuvox.de,480 6101,Marino,MasterCard,5.55E+15,10,10/1/2018,,44,Electronic publishing specialist,married,basic.9y,no,yes,no,telephone,may,mon,158,2,999,0,nonexistent,1.1,93.994,-36.4
70,Ms.,Ashley,Johnston,72 Nottingham Rd,ABBOTSKERSWELL,,TQ12 3SQ,GB,AshleyJohnston@gustr.com,070 4087 2453,Wright,MasterCard,5.54E+15,885,6/1/2018,BJ 40 52 77,67,Chemical technician,single,basic.4y,unknown,yes,yes,telephone,may,mon,177,1,999,0,nonexistent,1.1,93.994,-36.4
71,Ms.,Tanja,Dahl,dalen 23,Frederiksberg C,SJ,1875,DK,TanjaDahl@cuvox.de,20-59-78-72,Blom,MasterCard,5.35E+15,75,12/1/2020,120497-0412,19,Process technician,married,basic.6y,no,no,no,telephone,may,mon,200,1,999,0,nonexistent,1.1,93.994,-36.4
72,Mr.,Hieronim,Majewski,Hans Schacksvej 21,Skrping,NO,9520,DK,HieronimMajewski@superrito.com,22-99-17-56,Winiewska,Visa,4.93E+15,567,10/1/2020,140830-3733,85,Mathematical statistician,divorced,university.degree,no,yes,no,telephone,may,mon,172,1,999,0,nonexistent,1.1,93.994,-36.4
73,Mr.,Shane,Nell,Dunajska 32,Stari trg ob Kolpi,,8342,SI,ShaneNell@einrot.com,041-684-095,Stoffer,MasterCard,5.28E+15,182,5/1/2019,,58,In home service professional,married,university.degree,unknown,yes,no,telephone,may,mon,176,1,999,0,nonexistent,1.1,93.994,-36.4
74,Mrs.,Lourn,Grunnil,.  83,,FA,5731,CY,LournGrunnil@gustr.com,95 132585,Koloth,MasterCard,5.53E+15,226,4/1/2019,,40,Health care executive,married,unknown,unknown,no,no,telephone,may,mon,211,1,999,0,nonexistent,1.1,93.994,-36.4
75,Mr.,Jamie,Dickinson,Terz krt. 70.,Aba,FE,8128,HU,JamieDickinson@einrot.com,(22) 929-522,Ali,Visa,4.93E+15,914,6/1/2017,,85,Textile knitting and weaving machine operator,married,university.degree,unknown,yes,no,telephone,may,mon,214,1,999,0,nonexistent,1.1,93.994,-36.4
76,Mrs.,Naja,Mathiassen,60 Prudence Place,Oakura,,4314,NZ,NajaMathiassen@superrito.com,(028) 0416-034,Petersen,Visa,4.49E+15,368,3/1/2021,,74,Sales agent,divorced,basic.4y,unknown,yes,no,telephone,may,mon,1575,1,999,0,nonexistent,1.1,93.994,-36.4
77,Mr.,Ernesto,emerl,4591 Acton Avenue,Toronto,ON,M3H 4J1,CA,ErnestoSemerl@gustr.com,416-372-2776,De Costa,MasterCard,5.35E+15,530,3/1/2021,121059463,36,Arc cutter,married,university.degree,no,no,no,telephone,may,mon,349,1,999,0,nonexistent,1.1,93.994,-36.4
78,Mr.,Sven,Schulze,193,,NI,1429,CY,SvenSchulze@cuvox.de,22 439929,Scherer,MasterCard,5.51E+15,620,1/1/2021,,44,LAN administrator,married,high.school,unknown,yes,no,telephone,may,mon,337,2,999,0,nonexistent,1.1,93.994,-36.4
79,Mr.,Julian,Martins,Rkczi t 38.,Gyulakeszi,VE,8286,HU,JulianBarrosMartins@armyspy.com,(87) 152-903,Correia,MasterCard,5.47E+15,556,6/1/2017,,53,Tailor,married,unknown,unknown,yes,no,telephone,may,mon,272,1,999,0,nonexistent,1.1,93.994,-36.4
80,Mr.,Rostislav,Nmec,Maskenstraat 33,Kinrooi,VLI,3640,BE,RostislavNemec@einrot.com,0484 52 49 43,Omerov,MasterCard,5.42E+15,83,1/1/2021,,59,Neonatal nurse,married,basic.9y,unknown,no,no,telephone,may,mon,208,1,999,0,nonexistent,1.1,93.994,-36.4
81,Mr.,Robert,Johnson,R Conselheiro Joo Cunha 100,Viana do Castelo,VC,4900-489,PT,RobertJJohnson@cuvox.de,21 258 865 5230,Shealy,MasterCard,5.38E+15,951,8/1/2020,,48,Hand packager,married,basic.4y,unknown,yes,no,telephone,may,mon,193,1,999,0,nonexistent,1.1,93.994,-36.4
82,Mrs.,Terezie,malov,Magrethevej 191,Qasigiannguit,QA,3951,GL,TerezieRimalova@fleckens.hu,91 78 67,Moravcov,MasterCard,5.31E+15,660,4/1/2018,,79,U.S. marshal,married,basic.4y,unknown,unknown,unknown,telephone,may,mon,212,1,999,0,nonexistent,1.1,93.994,-36.4
83,Mr.,,,Pivovarsk 1639,Touim,KA,364 01,CZ,Neho1939@teleworm.us,358133755,,Visa,4.54E+15,190,11/1/2020,,76,Tire repairer,married,high.school,unknown,no,no,telephone,may,mon,165,2,999,0,nonexistent,1.1,93.994,-36.4
84,Ms.,Malika,Masaev,ul. Ksidza Sychty Bernarda 114,Gdask,,80-212,PL,MalikaMasaev@superrito.com,60 454 82 70,Kadiev,Visa,4.56E+15,484,8/1/2017,75010146448,41,Nurse educator,married,university.degree,unknown,yes,no,telephone,may,mon,1042,1,999,0,nonexistent,1.1,93.994,-36.4
85,Dr.,Isabel,Bell,Na Loukch 1248,Jedovnice,JM,679 06,CZ,IsabelBell@fleckens.hu,531085481,Black,Visa,4.49E+15,646,8/1/2021,,76,Public works inspector,single,university.degree,no,no,yes,telephone,may,mon,20,1,999,0,nonexistent,1.1,93.994,-36.4
86,Ms.,Karen,Brudttir,Lnggatan 17,SKAGERSVIK,,547 03,SE,KarenBarudottir@gustr.com,0506-9420234,,MasterCard,5.30E+15,444,9/1/2019,670306-6768,49,Elementary school teacher,divorced,high.school,no,no,no,telephone,may,mon,246,1,999,0,nonexistent,1.1,93.994,-36.4
87,Mr.,Nur al Din,Issa,3418 Veltri Drive,Anchorage,AK,99503,US,NuralDinSammanIssa@cuvox.de,907-271-4448,Maloof,Visa,4.54E+15,110,9/1/2018,574-56-3076,35,Finance officer,married,basic.6y,no,no,no,telephone,may,mon,529,2,999,0,nonexistent,1.1,93.994,-36.4
